result_position,bridge_signature,rule_id,edge_count
590,Al-O-Si,T-O-T,96
591,Al-O-Si,T-O-T,96
592,Al-O-Si,T-O-T,96
593,Al-O-Si,T-O-T,96
594,Al-O-Si,T-O-T,96
595,Al-O-Si,T-O-T,96
596,Al-O-Si,T-O-T,96
597,Al-O-Si,T-O-T,96
598,Al-O-Si,T-O-T,96
599,Al-O-Si,T-O-T,96
600,Al-O-Si,T-O-T,96
601,Al-O-Si,T-O-T,96
602,Al-O-Si,T-O-T,96
603,Al-O-Si,T-O-T,96
604,Al-O-Si,T-O-T,96
605,Al-O-Si,T-O-T,96
606,Al-O-Si,T-O-T,96
607,Al-O-Si,T-O-T,96
608,Al-O-Si,T-O-T,96
609,Al-O-Si,T-O-T,96
610,Al-O-Si,T-O-T,96
611,Al-O-Si,T-O-T,96
612,Al-O-Si,T-O-T,96
613,Al-O-Si,T-O-T,96
614,Al-O-Si,T-O-T,96
615,Al-O-Si,T-O-T,96
616,Al-O-Si,T-O-T,96
617,Al-O-Si,T-O-T,96
618,Al-O-Si,T-O-T,96
619,Al-O-Si,T-O-T,96
620,Al-O-Si,T-O-T,96
621,Al-O-Si,T-O-T,96
622,Al-O-Si,T-O-T,96
623,Al-O-Si,T-O-T,96
624,Al-O-Si,T-O-T,96
625,Al-O-Si,T-O-T,96
626,Al-O-Si,T-O-T,96
627,Al-O-Si,T-O-T,96
628,Al-O-Si,T-O-T,96
629,Al-O-Si,T-O-T,96
630,Al-O-Si,T-O-T,96
631,Al-O-Si,T-O-T,96
632,Al-O-Si,T-O-T,96
633,Al-O-Si,T-O-T,96
634,Al-O-Si,T-O-T,96
635,Al-O-Si,T-O-T,96
636,Al-O-Si,T-O-T,96
637,Al-O-Si,T-O-T,96
638,Al-O-Si,T-O-T,96
639,Al-O-Si,T-O-T,96
640,Al-O-Si,T-O-T,96
641,Al-O-Si,T-O-T,96
642,Al-O-Si,T-O-T,96
643,Al-O-Si,T-O-T,96
644,Al-O-Si,T-O-T,96
645,Al-O-Si,T-O-T,96
